2026-06-29 18:02:34,466 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 18:02:34,473 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 18:02:35,318 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 18:02:35,949 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 18:02:36,114 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 18:02:36,116 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 18:02:36,118 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 18:02:54,170 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 18:02:54,833 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 18:02:55,028 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 18:02:55,032 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 18:02:55,037 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 18:02:55,085 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 18:02:55,086 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 18:02:55,098 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 18:03:11,856 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 18:03:12,506 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 18:03:12,674 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 18:03:12,677 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 18:03:12,679 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 18:03:12,681 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 18:03:12,681 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 18:03:12,681 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 18:05:50,302 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 18:05:51,206 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 18:05:51,386 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 18:05:51,388 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 18:05:51,392 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 18:05:51,394 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 18:05:51,394 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 18:05:51,395 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 18:05:51,396 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 18:05:51,402 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 18:06:16,986 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 18:06:17,655 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 18:06:17,814 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 18:06:17,816 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
2026-06-29 18:06:17,818 | INFO     | SCHEMA.transform | Transformando os dados em Lazyframe...
2026-06-29 18:06:17,819 | INFO     | SCHEMA.transform | transformado!!
2026-06-29 18:06:17,819 | INFO     | SCHEMA.transform | Conferindo se a coluna open_time existe...
2026-06-29 18:06:17,820 | INFO     | SCHEMA.transform | Existe!!
2026-06-29 18:06:17,820 | INFO     | SCHEMA.transform | Deletando open_time...
2026-06-29 18:06:17,821 | INFO     | SCHEMA.transform | Deletado!!!
2026-06-29 19:08:45,339 | INFO     | INFRA.CONNECT.request | Fazendo a requisição para a url https://api.binance.com/api/v3/klines?symbol=BTCUSDT&interval=1d&limit=1000...
2026-06-29 19:08:46,076 | INFO     | INFRA.CONNECT.request | Requisição feita!!!
2026-06-29 19:08:46,465 | INFO     | ADAPTER.DATABASE.control_json | Lendo o arquivo em ADAPTER/STORAGE/RAW ...
2026-06-29 19:08:46,476 | INFO     | ADAPTER.DATABASE.control_json | Arquivo lido com sucesso!!
